"merchant_name","category","product","price","discount_price","description","area","latitude","longitude"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Happiness Bento Set 1","87890","78990","Double Hamburg Curry Rice + Berry Lychee Yakult","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Happiness Bento Set 2","79890","70990","Cheesy Hamburg Curry Rice + Berry Lychee Yakult","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Oishii Set 1","149980","134982","Cheesy Beef Cutlet Curry, Chicken Karaage Nanban Bento, 2 Coca Cola","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Oishii Set 2","144980","130482","Beef Hamburg Curry Rice, Chicken Karaage Mentai Bento, 2 Coca Cola","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Chicken Karaage Nanban Bento","56990","51291","Chicken Karaage, Nanban Tartar Sauce, 1 Ekkado, 1 Cheese Chicken Croquette, Rice, Salad","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Cheesy Beef Cutlet Curry","60990","54891","Juicy Beef Cutlet with Cheese Filling, Rice, Salad","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Fish Katsu Mentai Bento","65990","59390","Fish Katsu, Mentai Sauce, 1 Ekkado, 1 Cheese Chicken Croquette, Rice, Salad","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Double Hamburg Curry Rice","62990","56610","2 Beef Patty, Curry Sauce, Rice, Salad","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Cheesy Hamburg Curry Rice","54900","49410","Beef Patty, Cheese, Curry Sauce, Rice, Salad","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Cinnamon Roll","25990","22990","1 Cinnamon Roll","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Choco Lava Cake","29990","25990","Choco Lava Cake","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Chicken Katsu Mentai Bento","57990","51990","Juicy Chicken Katsu with Mentai Sauce, 1 Ekkado, 1 Cheese Chicken Croquette, Rice, Salad","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Coffee Brownie","29990","26990","1 Brownies Kopi","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Almond Brownie","32990","28990","1 Brownies Almond","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Es Sukur - Susu Kurma","28990","24990","Es + Susu Kurma","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Banzai!","Cepat saji/Aneka nasi/Jepang","Es Cendol Ceria","24990","21990","Es + Susu + Cendol (Produk tidak menggunakan santan untuk menjaga kualitas)","Bogor Utara, Bogor, Jawa Barat","-6.5717133","106.7836422"
"Bunga Bakery","Roti","Black Forest Ukuran 11","57500","56500","Sesuai Stok Yg Ada Di Toko","Cibinong, Bogor, Jawa Barat","-6.4824523","106.8016856"
"Bunga Bakery","Roti","Black Forest Ukuran 15","107500","106500","Sesuai Stok Yg Ada Di Toko","Cibinong, Bogor, Jawa Barat","-6.4824523","106.8016856"
"Bunga Bakery","Roti","Black Forest Ukuran 17","138500","137500","Sesuai Stok Yg Ada Di Toko","Cibinong, Bogor, Jawa Barat","-6.4824523","106.8016856"
"Bunga Bakery","Roti","Black Forest 18","138500","137500","Sesuai Stok Yg Ada Di Toko","Depok, Jawa Barat","-6.3878438","106.7477561"
"Bunga Bakery","Roti","Black Forest 12","57500","56500","Sesuai Stok Yg Ada Di Toko","Depok, Jawa Barat","-6.3878438","106.7477561"
"Bunga Bakery","Roti","Black Forest 16","107500","106500","Sesuai Stok Yg Ada Di Toko","Depok, Jawa Barat","-6.3878438","106.7477561"
"Bunga Bakery","Roti","Red Velvet 16","107500","106500","Sesuai Stok Yg Ada Di Toko","Depok, Jawa Barat","-6.3878438","106.7477561"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","BroBagi 1 - The Chicken Burger Meal","130960","99990","2 She Caught the Chicken Burger, 1 Es Matcha Mindfulness, 1 Es Cokelat Cozy","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","BroBagi 2 - The Brothers Meal","136960","99990","1 Chicago Beef Burger, 1 She Caught the Chicken Burger, 1 Matcha Mindfulness, 1 Es Cokelat Cozy","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","BroBagi 3 - The Crispy Chicken Meal","132960","99990","1 Fried Chicken Rice Meal Classic, 1 She Caught the Chicken Burger, 1 Matcha Mindfulness, 1 Es Cokelat Cozy","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","The Brothers","81980","72990","1 Chicago Beef Burger, 1 She Caught the Chicken Burger","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","The Cheesy Chicken Combo","82980","73990","1 Cheese Beef Burger to Love, 1 She Caught the Chicken Burger","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","The Chicken Burger Combo","75980","67990","2x She Caught the Chicken Burgers","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Best of Chicken Burger","72980","64990","1 She Caught the Chicken Burger, 1 The O.G. Chicken Burger","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","The O.G. Chicken Burger Combo","69980","61990","2x The O.G. Chicken Burgers","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Asian Chicken Burger Combo","78980","71990","1 Daebak Chicken Burger, 1 Thai Chili Chicken Burger","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","She Caught Ol Fish Combo","80980","72990","1 The Good Ol Fish Burger, 1 She Caught the Chicken Burger","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Chicago Beef Burger Meal","67480","60490","Chicago Beef Burger, French Fries, Tea","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","She Caught the Chicken Burger Meal","61480","54490","She Caught the Chicken Burger, French Fries, Tea","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Cheese Burger to Love Meal","68480","61490","Cheese Burger to Love, French Fries, Tea","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","The O.G. Chicken Burger Meal","58480","51990","The O.G. Chicken Burger, French Fries, Tea","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","She Caught the Chicken Burger, Es Matcha Mindfulness","64980","48990","1x She Caught the Chicken Burger, 1x Es Matcha Mindfulness","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Chicago Beef Burger, Es Kopi Cheer Me Up","66980","58990","1 Chicago Beef Burger, 1 Es Kopi Cheer Me Up","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","1 Chicago Beef Burger dan 1 Coca-Cola","59990","57000","1 Chicago Beef Burger, 1 Coca-Cola 330ml","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Bros Family Pack Chicken Burger","158940","123990","She Caught the Chicken Burger, The O.G. Chicken Burger, 2x Lil' Bro Chicken Burger, 4 Drinks","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Fried Chicken Rice Meal Mixed","51980","45990","Rice, 1 pc Fried Chicken, 1 pc Crispy Fried Chicken Fillet, 1 Drink","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Fried Chicken BOX","99990","89990","5 pcs Fried Chicken","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Black Pepper Fried Chicken Rice Meal","61980","48990","Rice, 1 pc Fried Chicken, 1 pc Crispy Fried Chicken Fillet, 1 Drink","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
"Burger Bros","Jajanan/Barat/Cepat saji/Ayam & bebek","Bros Family Pack Fried Chicken","147960","117990","5 Pcs Fried Chicken, 3 Rice, 3 Drinks","Bintaro, Jakarta Selatan, Jakarta","-6.2703879","106.7278611"
